policy_cd,record_cd,item_cd,year_susep,coverage_type,claim_vl,claim_deductible_vl,claim_expenses_vl,claim_notice_date,claim_liquidation_date,event_type,sinister_start_date,sinister_end_date
289596838,374116,788328,2021,110,5173.0,0.0,363.0,2021-06-18,2021-07-12,99,2021-06-13,2021-06-13
289596853,374134,788506,2021,110,45363.0,0.0,363.0,2021-03-17,2021-04-05,99,2021-03-06,2021-03-06
289597026,374344,798542,2021,110,363.0,0.0,363.0,2021-04-27,2021-05-03,99,2021-02-28,2021-02-28
289597136,374463,805837,2021,110,2613.0,250.0,363.0,2021-01-18,2021-04-14,99,2021-01-16,2021-01-16
289597140,374467,806607,2021,110,2613.0,250.0,363.0,2021-02-02,2021-06-04,99,2021-01-23,2021-01-23
289597142,374469,807295,2021,110,1533.0,130.0,363.0,2021-06-18,2021-07-05,99,2021-06-02,2021-06-02
289597442,374800,819274,2021,110,60363.0,0.0,363.0,2021-06-08,2021-06-25,11,2021-06-01,2021-06-01
289596853,374134,788527,2021,110,36363.0,0.0,363.0,2021-06-22,2021-07-07,99,2021-06-17,2021-06-17
289596875,374158,789247,2021,110,10263.0,0.0,363.0,2020-10-27,2021-01-04,99,2020-10-21,2020-10-21
289596950,374251,790642,2021,110,12363.0,0.0,363.0,2020-12-08,2021-02-18,99,2020-12-06,2020-12-06
289596951,374253,790658,2021,110,18183.0,0.0,363.0,2021-03-30,2021-04-16,99,2021-03-25,2021-03-25
289597026,374343,802073,2021,110,363.0,0.0,363.0,2021-04-13,2021-06-04,99,2021-04-06,2021-04-06
289597134,374461,805618,2021,110,5313.0,550.0,363.0,2021-05-07,2021-06-18,99,2021-04-28,2021-04-28
289597139,374466,806427,2021,110,5313.0,550.0,363.0,2021-05-07,2021-06-17,99,2021-04-30,2021-04-30
289597141,374468,806802,2021,110,5313.0,550.0,363.0,2021-02-05,2021-06-14,99,2021-02-01,2021-02-01
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-06-18,2021-07-15,99,2021-06-01,2021-06-01
289596838,374116,788327,2021,110,4668.0,0.0,363.0,2021-07-15,2021-08-24,99,2021-06-30,2021-06-30
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-07-02,2021-08-18,99,2021-06-16,2021-06-16
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-05-07,2021-07-01,99,2021-04-29,2021-04-29
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-05-28,2021-07-01,99,2021-05-23,2021-05-23
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-02-22,2021-03-15,99,2021-02-15,2021-02-15
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-01-18,2021-03-01,99,2021-01-11,2021-01-11
289596838,374115,788327,2021,110,363.0,0.0,363.0,2020-11-05,2020-12-23,99,2020-10-29,2020-10-29
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-02-22,2021-03-15,99,2021-02-03,2021-02-03
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-03-10,2021-04-01,99,2021-03-01,2021-03-01
289596838,374115,788327,2021,110,363.0,0.0,363.0,2020-11-26,2021-01-04,99,2020-11-20,2020-11-20
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-02-05,2021-03-05,99,2021-02-01,2021-02-01
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2020-12-15,2021-01-14,99,2020-12-08,2020-12-08
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-03-12,2021-04-01,99,2021-03-04,2021-03-04
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-02-22,2021-03-15,99,2021-02-15,2021-02-15
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-01-26,2021-03-01,99,2021-01-21,2021-01-21
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-01-14,2021-02-11,99,2020-12-28,2020-12-28
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2021-01-26,2021-03-01,99,2021-01-15,2021-01-15
289596838,374115,788327,2021,110,5173.0,0.0,363.0,2020-12-03,2021-01-14,99,2020-11-24,2020-11-24
289596838,374115,788327,2021,110,363.0,0.0,363.0,2020-11-17,2020-12-23,99,2020-11-16,2020-11-16
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-05-28,2021-07-01,99,2021-05-24,2021-05-24
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-06-18,2021-07-12,99,2021-06-11,2021-06-11
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-04-06,2021-04-26,99,2021-03-29,2021-03-29
289596838,374116,788327,2021,110,5173.0,0.0,363.0,2021-04-30,2021-06-17,99,2021-04-16,2021-04-16
289596954,374256,790670,2021,110,7113.0,750.0,363.0,2020-12-22,2021-01-19,99,2020-12-09,2020-12-09
289596954,374256,790674,2021,110,7113.0,750.0,363.0,2021-01-19,2021-02-24,99,2021-01-18,2021-01-18
289596989,374297,791968,2021,110,5385.8,0.0,363.0,2021-05-10,2021-07-16,99,2021-05-05,2021-05-05
289597359,374714,814664,2021,110,31863.0,0.0,363.0,2021-06-25,2021-07-08,99,2021-06-18,2021-06-18
289596443,373638,763165,2021,110,2613.0,250.0,363.0,2020-07-31,2020-09-25,99,2020-07-29,2020-07-29
289596443,373638,763166,2021,110,2613.0,250.0,363.0,2020-09-11,2020-12-28,99,2020-09-07,2020-09-07
289596444,373640,763303,2021,110,4863.0,500.0,363.0,2020-07-06,2020-09-25,99,2020-07-03,2020-07-03
289596474,373683,765229,2021,110,4638.0,0.0,363.0,2020-12-16,2021-01-19,99,2020-12-09,2020-12-09
289596576,373805,768199,2021,110,90363.0,0.0,363.0,2021-03-03,2021-04-14,99,2021-02-18,2021-02-18
289596578,373807,768292,2021,110,5763.0,600.0,363.0,2020-10-05,2020-10-29,99,2020-10-04,2020-10-04
289596588,373819,768322,2021,110,3063.0,300.0,363.0,2021-02-05,2021-03-01,99,2021-01-27,2021-01-27
289596588,373819,768358,2021,110,5763.0,600.0,363.0,2020-10-16,2020-11-09,99,2020-10-14,2020-10-14
289596633,373873,773130,2021,110,10563.0,0.0,363.0,2020-07-01,2020-07-23,99,2020-06-27,2020-06-27
289596684,373937,777209,2021,110,2050.5,187.5,363.0,2020-10-09,2020-11-23,99,2020-10-08,2020-10-08
289596684,373937,777218,2021,110,2050.5,187.5,363.0,2021-04-15,2021-05-11,99,2021-04-14,2021-04-14
289596684,373937,777391,2021,110,2050.5,187.5,363.0,2021-06-01,2021-06-28,99,2021-05-29,2021-05-29
289596684,373937,777441,2021,110,2050.5,187.5,363.0,2020-09-30,2020-10-26,99,2020-09-26,2020-09-26
289596686,373939,778918,2021,110,948.0,65.0,363.0,2021-01-21,2021-02-24,99,2021-01-20,2021-01-20
289596687,373940,779567,2021,110,2050.5,187.5,363.0,2020-09-16,2020-10-15,99,2020-09-09,2020-09-09
289596688,373941,780770,2021,110,2050.5,187.5,363.0,2021-06-18,2021-07-14,99,2021-06-15,2021-06-15
289596738,373998,782846,2021,110,363.0,0.0,363.0,2020-09-18,2020-11-03,99,2020-09-15,2020-09-15
289596254,373408,753304,2021,110,1938.0,175.0,363.0,2020-07-14,2020-08-12,99,2020-07-13,2020-07-13
289596438,373626,762052,2021,110,4863.0,500.0,363.0,2020-09-15,2021-01-04,99,2020-09-01,2020-09-01
289596440,373631,762452,2021,110,2613.0,250.0,363.0,2020-08-26,2020-12-18,11,2020-08-14,2020-08-14
289596588,373819,768320,2021,110,363.0,0.0,363.0,2020-08-03,2020-09-03,11,2020-08-01,2020-08-01
289596617,373855,768760,2021,110,27363.0,0.0,363.0,2020-10-29,2021-01-21,17,2020-10-27,2020-10-27
289596686,373939,778444,2021,110,948.0,65.0,363.0,2021-01-21,2021-02-24,11,2021-01-19,2021-01-19
289596686,373939,778530,2021,110,948.0,65.0,363.0,2021-06-17,2021-07-14,99,2021-06-12,2021-06-12
289596686,373939,779335,2021,110,2050.5,187.5,363.0,2021-03-02,2021-04-01,99,2021-02-19,2021-02-19
289596688,373941,780342,2021,110,2050.5,187.5,363.0,2020-12-08,2021-01-04,99,2020-12-03,2020-12-03
289596738,373998,783159,2021,110,12363.0,0.0,363.0,2020-09-18,2020-10-08,99,2020-09-11,2020-09-11
289596706,373959,781351,2021,110,363.0,0.0,363.0,2020-08-26,2020-10-01,17,2020-08-23,2020-08-23
289596954,374256,790683,2021,110,7113.0,750.0,363.0,2021-04-06,2021-04-26,99,2021-04-03,2021-04-03
289596964,374268,790784,2021,110,17363.0,0.0,363.0,2020-12-30,2021-02-11,99,2020-12-21,2020-12-21
289596969,374275,790865,2021,110,13188.0,675.0,363.0,2020-11-26,2020-12-17,99,2020-11-23,2020-11-23
289596978,374285,791398,2021,110,16863.0,0.0,363.0,2020-11-10,2020-12-04,99,2020-11-02,2020-11-02
289597134,374461,805541,2021,110,5313.0,550.0,363.0,2021-05-26,2021-06-24,99,2021-05-20,2021-05-20
289597139,374466,806416,2021,110,5313.0,550.0,363.0,2021-02-11,2021-06-04,99,2021-02-10,2021-02-10
289597224,374563,809914,2021,110,363.0,0.0,363.0,2021-03-08,2021-04-01,20,2021-03-07,2021-03-07
289597337,374689,813670,2021,110,12675.0,0.0,363.0,2021-05-20,2021-06-14,99,2021-05-15,2021-05-15
